Rank,Player,Team,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
1,Michael Thomas,NOR,26,WR,16,15,185,149,80.50%,1725,11.6,9,91,49,9.3,9.3,107.8,1
2,Julio Jones,ATL,30,WR,15,15,157,99,63.10%,1394,14.1,6,77,54,8.9,6.6,92.9,1
3,Allen Robinson,CHI,26,WR,16,15,154,98,63.60%,1147,11.7,7,63,49,7.4,6.1,71.7,0
4,Julian Edelman,NWE,33,WR,16,13,153,100,65.40%,1117,11.2,6,54,44,7.3,6.3,69.8,3
5,DeAndre Hopkins,HOU,27,WR,15,15,150,104,69.30%,1165,11.2,7,68,43,7.8,6.9,77.7,0
6,Keenan Allen,LAC,27,WR,16,16,149,104,69.80%,1199,11.5,6,63,45,8,6.5,74.9,0
7,Tyler Boyd,CIN,25,WR,16,15,148,90,60.80%,1046,11.6,5,51,47,7.1,5.6,65.4,2
8,Christian McCaffrey,CAR,23,RB,16,16,142,116,81.70%,1005,8.7,4,58,28,7.1,7.3,62.8,1
9,Robert Woods,LAR,27,WR,15,15,139,90,64.70%,1134,12.6,2,54,48,8.2,6,75.6,0
10,Jarvis Landry,CLE,27,WR,16,16,138,83,60.10%,1174,14.1,6,55,65,8.5,5.2,73.4,0
11,Travis Kelce,KAN,30,TE,16,16,136,97,71.30%,1229,12.7,5,65,47,9,6.1,76.8,1
12,Zach Ertz,PHI,29,TE,15,15,135,88,65.20%,916,10.4,6,50,30,6.8,5.9,61.1,1
13,D.J. Moore,CAR,22,WR,15,15,135,87,64.40%,1175,13.5,4,63,52,8.7,5.8,78.3,2
14,Cooper Kupp,LAR,26,WR,16,14,134,94,70.10%,1161,12.4,10,51,66,8.7,5.9,72.6,3
15,Odell Beckham Jr.,CLE,27,WR,16,15,133,74,55.60%,1035,14,4,44,89,7.8,4.6,64.7,1
16,DeVante Parker,MIA,26,WR,16,14,128,72,56.30%,1202,16.7,9,58,51,9.4,4.5,75.1,0
17,Davante Adams,GNB,27,WR,12,12,127,83,65.40%,997,12,5,54,58,7.9,6.9,83.1,2
18,Courtland Sutton,DEN,24,WR,16,14,124,72,58.10%,1112,15.4,6,50,70,9,4.5,69.5,2
19,Jamison Crowder,NYJ,26,WR,16,12,122,78,63.90%,833,10.7,6,41,41,6.8,4.9,52.1,0
20,Chris Godwin,TAM,23,WR,14,14,121,86,71.10%,1333,15.5,9,63,71,11,6.1,95.2,0
21,Amari Cooper,DAL,25,WR,16,16,119,79,66.40%,1189,15.1,8,54,53,10,4.9,74.3,0
22,DJ Chark,JAX,23,WR,15,14,118,73,61.90%,1008,13.8,8,42,69,8.5,4.9,67.2,0
23,Mike Evans,TAM,26,WR,13,13,118,67,56.80%,1157,17.3,8,54,67,9.8,5.2,89,0
24,Darren Waller,OAK,27,TE,16,16,117,90,76.90%,1145,12.7,3,53,75,9.8,5.6,71.6,1
25,Kenny Golladay,DET,26,WR,16,16,116,65,56.00%,1190,18.3,11,52,75,10.3,4.1,74.4,1
26,John Brown,BUF,29,WR,15,15,115,72,62.60%,1060,14.7,6,53,53,9.2,4.8,70.7,0
27,Michael Gallup,DAL,23,WR,14,12,113,66,58.40%,1107,16.8,6,50,62,9.8,4.7,79.1,0
28,Tyler Lockett,SEA,27,WR,16,16,110,82,74.50%,1057,12.9,8,53,44,9.6,5.1,66.1,1
29,Larry Fitzgerald,ARI,36,WR,16,16,109,75,68.80%,804,10.7,4,40,54,7.4,4.7,50.3,1
30,Austin Ekeler,LAC,24,rb,16,8,108,92,85.20%,993,10.8,8,42,84,9.2,5.8,62.1,3
31,Christian Kirk,ARI,23,WR,13,13,108,68,63.00%,709,10.4,3,31,69,6.6,5.2,54.5,0
32,George Kittle,SFO,26,TE,14,14,107,85,79.40%,1053,12.4,5,53,61,9.8,6.1,75.2,1
33,Cole Beasley,BUF,30,WR,15,10,106,67,63.20%,778,11.6,6,37,51,7.3,4.5,51.9,0
34,Curtis Samuel,CAR,23,WR,16,15,105,54,51.40%,627,11.6,6,36,44,6,3.4,39.2,0
35,Tarik Cohen,CHI,24,RB,16,11,104,79,76.00%,456,5.8,3,18,31,4.4,4.9,28.5,3
36,Dede Westbrook,JAX,26,WR,15,11,101,66,65.30%,660,10,3,31,39,6.5,4.4,44,1
37,D.K. Metcalf,SEA,22,WR,16,15,100,58,58.00%,900,15.5,7,39,54,9,3.6,56.3,3
38,Leonard Fournette,JAX,24,RB,15,15,100,76,76.00%,522,6.9,0,23,27,5.2,5.1,34.8,1
39,Mark Andrews,BAL,23,,15,4,98,64,65.30%,852,13.3,10,44,51,8.7,4.3,56.8,2
40,Emmanuel Sanders,2TM,32,,17,16,97,66,68.00%,869,13.2,5,41,75,9,3.9,51.1,0
41,Danny Amendola,DET,34,WR,15,10,97,62,63.90%,678,10.9,1,36,47,7,4.1,45.2,0
42,Alvin Kamara,NOR,24,RB,14,9,97,81,83.50%,533,6.6,1,28,41,5.5,5.8,38.1,4
43,Austin Hooper,ATL,25,TE,13,10,97,75,77.30%,787,10.5,6,41,35,8.1,5.8,60.5,0
44,Robby Anderson,NYJ,26,WR,16,15,96,52,54.20%,779,15,5,35,92,8.1,3.3,48.7,1
45,James White,NWE,27,,15,1,95,72,75.80%,645,9,5,31,59,6.8,4.8,43,1
46,Stefon Diggs,MIN,26,WR,15,15,94,63,67.00%,1130,17.9,6,41,66,12,4.2,75.3,4
47,Terry McLaurin,WAS,24,WR,14,14,93,58,62.40%,919,15.8,7,43,75,9.9,4.1,65.6,0
48,Calvin Ridley,ATL,25,WR,13,10,93,63,67.70%,866,13.7,7,47,36,9.3,4.8,66.6,0
49,Diontae Johnson,PIT,23,WR,16,12,92,59,64.10%,680,11.5,5,31,45,7.4,3.7,42.5,5
50,Marvin Jones,DET,29,WR,13,11,91,62,68.10%,779,12.6,9,41,47,8.6,4.8,59.9,0
51,Chris Conley,JAX,27,WR,16,14,90,47,52.20%,775,16.5,5,36,70,8.6,2.9,48.4,0
52,Mike Williams,LAC,25,WR,15,15,90,49,54.40%,1001,20.4,2,41,56,11.1,3.3,66.7,0
53,Sammy Watkins,KAN,26,WR,14,13,90,52,57.80%,673,12.9,3,30,68,7.5,3.7,48.1,2
54,Mike Gesicki,MIA,24,te,16,5,89,51,57.30%,570,11.2,5,25,34,6.4,3.2,35.6,1
55,Tyler Higbee,LAR,26,TE,15,15,89,69,77.50%,734,10.6,3,36,33,8.2,4.6,48.9,0
56,Mohamed Sanu,2TM,30,,15,12,89,59,66.30%,520,8.8,2,30,28,5.8,3.9,34.7,0
57,Tyreek Hill,KAN,25,WR,12,12,89,58,65.20%,860,14.8,7,39,57,9.7,4.8,71.7,0
58,Dallas Goedert,PHI,24,TE,15,9,87,58,66.70%,607,10.5,5,33,28,7,3.9,40.5,2
59,Anthony Miller,CHI,25,WR,16,7,85,52,61.20%,656,12.6,2,34,35,7.7,3.3,41,1
60,Golden Tate,NYG,31,WR,11,10,85,49,57.60%,676,13.8,6,30,64,8,4.5,61.5,1
61,A.J. Brown,TEN,22,WR,16,11,84,52,61.90%,1051,20.2,8,39,91,12.5,3.3,65.7,1
62,Darius Slayton,NYG,22,WR,14,9,84,48,57.10%,740,15.4,8,32,55,8.8,3.4,52.9,0
63,Jason Witten,DAL,37,TE,16,16,83,63,75.90%,529,8.4,4,27,33,6.4,3.9,33.1,1
64,Randall Cobb,DAL,29,wr,15,6,83,55,66.30%,828,15.1,3,41,59,10,3.7,55.2,2
65,Sterling Shepard,NYG,26,WR,10,10,83,57,68.70%,576,10.1,3,29,36,6.9,5.7,57.6,0
66,Greg Olsen,CAR,34,TE,14,14,82,52,63.40%,597,11.5,2,34,41,7.3,3.7,42.6,0
67,Deebo Samuel,SFO,23,WR,15,11,81,57,70.40%,802,14.1,3,32,42,9.9,3.8,53.5,2
68,James Washington,PIT,23,WR,15,10,80,44,55.00%,735,16.7,3,31,79,9.2,2.9,49,1
69,Auden Tate,CIN,22,WR,12,10,80,40,50.00%,575,14.4,1,29,33,7.2,3.3,47.9,1
70,Alex Erickson,CIN,27,wr,16,6,78,43,55.10%,529,12.3,0,26,52,6.8,2.7,33.1,4
71,Le'Veon Bell,NYJ,27,RB,15,15,78,66,84.60%,461,7,1,20,23,5.9,4.4,30.7,1
72,Hunter Henry,LAC,25,TE,12,12,76,55,72.40%,652,11.9,5,36,30,8.6,4.6,54.3,1
73,Russell Gage,ATL,23,,16,4,74,49,66.20%,446,9.1,1,25,19,6,3.1,27.9,1
74,Saquon Barkley,NYG,22,RB,13,13,73,52,71.20%,438,8.4,2,14,65,6,4,33.7,1
75,Alshon Jeffery,PHI,29,WR,10,10,73,43,58.90%,490,11.4,4,36,38,6.7,4.3,49,0
76,Jack Doyle,IND,29,TE,16,16,72,43,59.70%,448,10.4,4,29,23,6.2,2.7,28,1
77,Zach Pascal,IND,25,WR,16,13,72,41,56.90%,607,14.8,5,29,37,8.4,2.6,37.9,0
78,Brandin Cooks,LAR,26,WR,14,14,72,42,58.30%,583,13.9,2,32,57,8.1,3,41.6,0
79,Ezekiel Elliott,DAL,24,RB,16,16,71,54,76.10%,420,7.8,2,21,27,5.9,3.4,26.3,3
80,Marquise Brown,BAL,22,wr,14,11,71,46,64.80%,584,12.7,7,24,83,8.2,3.3,41.7,0
81,Hunter Renfrow,OAK,24,,13,4,71,49,69.00%,605,12.3,4,30,65,8.5,3.8,46.5,1
82,Will Fuller,HOU,25,WR,11,11,71,49,69.00%,670,13.7,3,26,54,9.4,4.5,60.9,1
83,Devonta Freeman,ATL,27,RB,14,14,70,59,84.30%,410,6.9,4,17,28,5.9,4.2,29.3,3
84,JuJu Smith-Schuster,PIT,23,WR,12,12,70,42,60.00%,552,13.1,3,23,76,7.9,3.5,46,1
85,Corey Davis,TEN,24,TE,15,11,69,43,62.30%,601,14,2,33,38,8.7,2.9,40.1,1
86,Breshad Perriman,TAM,26,,14,4,69,36,52.20%,645,17.9,6,29,44,9.3,2.6,46.1,0
87,Nelson Agholor,PHI,26,WR,11,10,69,39,56.50%,363,9.3,3,17,43,5.3,3.5,33,2
88,Aaron Jones,GNB,25,RB,16,16,68,49,72.10%,474,9.7,3,18,67,7,3.1,29.6,3
89,Kenyan Drake,2TM,25,,14,10,68,50,73.50%,345,6.9,0,15,26,5.1,3.6,24.6,2
90,T.Y. Hilton,IND,30,WR,10,10,68,45,66.20%,501,11.1,5,24,35,7.4,4.5,50.1,0
91,Evan Engram,NYG,25,TE,8,6,68,44,64.70%,467,10.6,3,23,75,6.9,5.5,58.4,0
92,Noah Fant,DEN,22,TE,16,11,66,40,60.60%,562,14.1,3,23,75,8.5,2.5,35.1,1
93,Jared Cook,NOR,32,te,14,7,65,43,66.20%,705,16.4,9,32,61,10.8,3.1,50.4,0
94,Tyrell Williams,OAK,27,WR,14,12,64,42,65.60%,651,15.5,6,33,46,10.2,3,46.5,0
95,Miles Sanders,PHI,22,RB,16,11,63,50,79.40%,509,10.2,3,19,45,8.1,3.1,31.8,2
96,Tyler Eifert,CIN,29,,16,4,63,43,68.30%,436,10.1,3,24,27,6.9,2.7,27.3,0
97,Dalvin Cook,MIN,24,RB,14,14,63,53,84.10%,519,9.8,0,26,31,8.2,3.8,37.1,4
98,Duke Johnson,HOU,26,,16,2,62,44,71.00%,410,9.3,3,18,21,6.6,2.8,25.6,1
99,Albert Wilson,MIA,27,,13,4,62,43,69.40%,351,8.2,1,22,35,5.7,3.3,27,0
100,Jimmy Graham,GNB,33,TE,16,10,60,38,63.30%,447,11.8,3,23,48,7.5,2.4,27.9,1
101,Gerald Everett,LAR,25,,13,2,60,37,61.70%,408,11,2,22,33,6.8,2.8,31.4,0
102,Preston Williams,MIA,22,WR,8,7,60,32,53.30%,428,13.4,3,24,35,7.1,4,53.5,2
103,T.J. Hockenson,DET,22,te,12,7,59,32,54.20%,367,11.5,2,19,39,6.2,2.7,30.6,0
104,Jacob Hollister,SEA,26,,11,3,59,41,69.50%,349,8.5,3,16,22,5.9,3.7,31.7,0
105,Nyheim Hines,IND,23,,16,2,58,44,75.90%,320,7.3,0,15,21,5.5,2.8,20,1
106,Jarius Wright,CAR,30,WR,16,9,58,28,48.30%,296,10.6,0,16,33,5.1,1.8,18.5,0
107,Chris Thompson,WAS,29,,11,0,58,42,72.40%,378,9,0,16,39,6.5,3.8,34.4,1
108,Demaryius Thomas,NYJ,32,WR,11,10,58,36,62.10%,433,12,1,22,47,7.5,3.3,39.4,0
109,Jaylen Samuels,PIT,23,,14,4,57,47,82.50%,305,6.5,1,19,27,5.4,3.4,21.8,1
110,Steven Sims,WAS,22,,16,2,56,34,60.70%,310,9.1,4,18,65,5.5,2.1,19.4,1
111,Ted Ginn Jr.,NOR,34,WR,16,9,56,30,53.60%,421,14,2,20,45,7.5,1.9,26.3,0
112,Marquez Valdes-Scantling,GNB,25,WR,16,10,56,26,46.40%,452,17.4,2,14,74,8.1,1.6,28.3,0
113,John Ross,CIN,25,WR,8,8,56,28,50.00%,506,18.1,3,22,66,9,3.5,63.3,1
114,Jordan Akins,HOU,27,TE,16,9,55,36,65.50%,418,11.6,2,21,53,7.6,2.3,26.1,0
115,Cameron Brate,TAM,28,TE,16,6,55,36,65.50%,311,8.6,4,21,37,5.7,2.3,19.4,0
116,Geronimo Allison,GNB,25,wr,16,6,55,34,61.80%,287,8.4,2,16,31,5.2,2.1,17.9,2
117,Demarcus Robinson,KAN,25,wr,16,10,55,32,58.20%,449,14,4,19,44,8.2,2,28.1,0
118,Vance McDonald,PIT,29,TE,14,14,55,38,69.10%,273,7.2,3,12,22,5,2.7,19.5,1
119,Kenny Stills,HOU,27,wr,13,5,55,40,72.70%,561,14,4,27,45,10.2,3.1,43.2,0
120,Melvin Gordon,LAC,26,RB,12,11,55,42,76.40%,296,7,1,11,25,5.4,3.5,24.7,4
121,Phillip Dorsett,NWE,26,,14,4,54,29,53.70%,397,13.7,5,17,58,7.4,2.1,28.4,0
122,O.J. Howard,TAM,25,TE,14,14,53,34,64.20%,459,13.5,1,23,33,8.7,2.4,32.8,1
123,Allen Lazard,GNB,24,,16,3,52,35,67.30%,477,13.6,3,24,43,9.2,2.2,29.8,0
124,DaeSean Hamilton,DEN,24,,16,2,52,28,53.80%,297,10.6,1,19,28,5.7,1.8,18.6,0
125,Eric Ebron,IND,26,,11,2,52,31,59.60%,375,12.1,3,20,48,7.2,2.8,34.1,0
126,Royce Freeman,DEN,23,,16,0,50,43,86.00%,256,6,1,10,19,5.1,2.7,16,0
127,Dawson Knox,BUF,23,TE,15,11,50,28,56.00%,388,13.9,2,15,49,7.8,1.9,25.9,0
128,Nick Chubb,CLE,24,RB,16,16,49,36,73.50%,278,7.7,0,13,32,5.7,2.3,17.4,3
129,Todd Gurley,LAR,25,RB,15,15,49,31,63.30%,207,6.7,2,8,23,4.2,2.1,13.8,3
130,Kyle Rudolph,MIN,30,TE,16,16,48,39,81.30%,367,9.4,6,24,32,7.6,2.4,22.9,0
131,Phillip Lindsay,DEN,25,RB,16,16,48,35,72.90%,196,5.6,0,9,36,4.1,2.2,12.3,0
132,Darren Fells,HOU,33,TE,16,14,48,34,70.80%,341,10,7,22,24,7.1,2.1,21.3,0
133,Adam Thielen,MIN,29,WR,10,10,48,30,62.50%,418,13.9,6,18,44,8.7,3,41.8,0
