Player,Team,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Drop,Drop%
Michael Thomas,NOR,26,WR,16,15,185,149,1725,91,1142,7.7,583,3.9,5,29.8,6,3.2
Julio Jones,ATL,30,WR,15,15,157,99,1394,77,1030,10.4,364,3.7,7,14.1,4,2.5
Allen Robinson,CHI,26,WR,16,15,154,98,1147,63,875,8.9,272,2.8,5,19.6,7,4.5
Julian Edelman,NWE,33,WR,16,13,153,100,1117,54,797,8,320,3.2,4,25,13,8.5
DeAndre Hopkins,HOU,27,WR,15,15,150,104,1165,68,778,7.5,387,3.7,9,11.6,4,2.7
Keenan Allen,LAC,27,WR,16,16,149,104,1199,63,825,7.9,374,3.6,4,26,7,4.7
Tyler Boyd,CIN,25,WR,16,15,148,90,1046,51,623,6.9,423,4.7,3,30,5,3.4
Christian McCaffrey,CAR,23,RB,16,16,142,116,1005,58,-14,-0.1,1019,8.8,14,8.3,7,4.9
Robert Woods,LAR,27,WR,15,15,139,90,1134,54,558,6.2,576,6.4,3,30,4,2.9
Jarvis Landry,CLE,27,WR,16,16,138,83,1174,55,738,8.9,436,5.3,5,16.6,5,3.6
Travis Kelce,KAN,30,TE,16,16,136,97,1229,65,819,8.4,410,4.2,6,16.2,8,5.9
Zach Ertz,PHI,29,TE,15,15,135,88,916,50,661,7.5,255,2.9,5,17.6,5,3.7
D.J. Moore,CAR,22,WR,15,15,135,87,1175,63,791,9.1,384,4.4,6,14.5,4,3
Cooper Kupp,LAR,26,WR,16,14,134,94,1161,51,623,6.6,538,5.7,9,10.4,3,2.2
Odell Beckham Jr.,CLE,27,WR,16,15,133,74,1035,44,709,9.6,326,4.4,2,37,7,5.3
DeVante Parker,MIA,26,WR,16,14,128,72,1202,58,939,13,263,3.7,2,36,6,4.7
Davante Adams,GNB,27,WR,12,12,127,83,997,54,609,7.3,388,4.7,3,27.7,7,5.5
Courtland Sutton,DEN,24,WR,16,14,124,72,1112,50,760,10.6,352,4.9,12,6,5,4
Jamison Crowder,NYJ,26,WR,16,12,122,78,833,41,475,6.1,358,4.6,4,19.5,8,6.6
Chris Godwin,TAM,23,WR,14,14,121,86,1333,63,756,8.8,577,6.7,8,10.8,1,0.8
Amari Cooper,DAL,25,WR,16,16,119,79,1189,54,911,11.5,278,3.5,4,19.8,5,4.2
DJ Chark,JAX,23,WR,15,14,118,73,1008,42,679,9.3,329,4.5,5,14.6,4,3.4
Mike Evans,TAM,26,WR,13,13,118,67,1157,54,901,13.4,256,3.8,3,22.3,7,5.9
Darren Waller,OAK,27,TE,16,16,117,90,1145,53,575,6.4,570,6.3,8,11.3,5,4.3
Kenny Golladay,DET,26,WR,16,16,116,65,1190,52,886,13.6,304,4.7,1,65,6,5.2
John Brown,BUF,29,WR,15,15,115,72,1060,53,850,11.8,210,2.9,4,18,5,4.3
Michael Gallup,DAL,23,WR,14,12,113,66,1107,50,774,11.7,333,5,7,9.4,11,9.7
Tyler Lockett,SEA,27,WR,16,16,110,82,1057,53,749,9.1,308,3.8,0,,2,1.8
Larry Fitzgerald,ARI,36,WR,16,16,109,75,804,40,461,6.1,343,4.6,0,,0,0
Austin Ekeler,LAC,24,RB,16,8,108,92,993,42,53,0.6,940,10.2,15,6.1,1,0.9
Christian Kirk,ARI,23,WR,13,13,108,68,709,31,423,6.2,286,4.2,1,68,4,3.7
George Kittle,SFO,26,TE,14,14,107,85,1053,53,451,5.3,602,7.1,8,10.6,2,1.9
Cole Beasley,BUF,30,WR,15,10,106,67,778,37,448,6.7,330,4.9,4,16.8,6,5.7
Curtis Samuel,CAR,23,WR,16,15,105,54,627,36,474,8.8,153,2.8,3,18,7,6.7
Tarik Cohen,CHI,24,RB,16,11,104,79,456,18,27,0.3,429,5.4,5,15.8,9,8.7
Dede Westbrook,JAX,26,WR,15,11,101,66,660,31,343,5.2,317,4.8,3,22,3,3
Leonard Fournette,JAX,24,RB,15,15,100,76,522,23,-36,-0.5,558,7.3,8,9.5,6,6
D.K. Metcalf,SEA,22,WR,16,15,100,58,900,39,627,10.8,273,4.7,4,14.5,7,7
Mark Andrews,BAL,23,te,15,4,98,64,852,44,561,8.8,291,4.5,3,21.3,7,7.1
Alvin Kamara,NOR,24,RB,14,9,97,81,533,28,-24,-0.3,557,6.9,10,8.1,5,5.2
Austin Hooper,ATL,25,TE,13,10,97,75,787,41,452,6,335,4.5,5,15,1,1
Emmanuel Sanders,2TM,32,WR,17,16,97,66,869,41,632,9.6,237,3.6,2,33,2,2.1
Danny Amendola,DET,34,WR,15,10,97,62,678,36,471,7.6,207,3.3,3,20.7,2,2.1
Robby Anderson,NYJ,26,WR,16,15,96,52,779,35,586,11.3,193,3.7,1,52,4,4.2
James White,NWE,27,RB,15,1,95,72,645,31,122,1.7,523,7.3,3,24,2,2.1
Stefon Diggs,MIN,26,WR,15,15,94,63,1130,41,828,13.1,302,4.8,2,31.5,6,6.4
Calvin Ridley,ATL,25,WR,13,10,93,63,866,47,728,11.6,138,2.2,2,31.5,3,3.2
Terry McLaurin,WAS,24,WR,14,14,93,58,919,43,702,12.1,217,3.7,4,14.5,4,4.3
Diontae Johnson,PIT,23,WR,16,12,92,59,680,31,375,6.4,305,5.2,9,6.6,6,6.5
Marvin Jones,DET,29,WR,13,11,91,62,779,41,673,10.9,106,1.7,2,31,2,2.2
Sammy Watkins,KAN,26,WR,14,13,90,52,673,30,376,7.2,297,5.7,0,,4,4.4
Mike Williams,LAC,25,WR,15,15,90,49,1001,41,814,16.6,187,3.8,3,16.3,4,4.4
Chris Conley,JAX,27,WR,16,14,90,47,775,36,523,11.1,252,5.4,5,9.4,7,7.8
Tyler Higbee,LAR,26,TE,15,15,89,69,734,36,338,4.9,396,5.7,5,13.8,2,2.2
Mohamed Sanu,2TM,30,WR,15,12,89,59,520,30,326,5.5,194,3.3,2,29.5,6,6.7
